type,depth,landuse,class
"Hemists/min (30/70),sedang",D2,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/min (30/70),sedang",D2,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/min (30/70),sedang",D2,Belukar rawa,F
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Saprists/Hemists (60/40),sedang",D2,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Saprists/Hemists (60/40),sedang",D2,Hutan rawa,F
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,F
"Hemists/min (30/70),dangkal",D1,Belukar rawa,T
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,F
"Hemists/min (30/70),dangkal",D1,Belukar rawa,T
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,F
"Hemists/min (30/70),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,F
"Saprists/Hemists (60/40),sedang",D2,Hutan rawa,F
"Hemists/min (30/70),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,F
"Hemists/min (30/70),sedang",D2,Hutan rawa,T
"Saprists/Hemists (60/40),sedang",D2,Hutan rawa,F
"Hemists/min (30/70),sedang",D2,Hutan rawa,T
"Saprists/min (50/50),sedang",D2,Semak dan rumput rawa dan bekas kebakaran,T
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Saprists/Hemists (60/40),sedan",D2,Hutan rawa,F
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,T
"Saprists/Hemists (60/40),sedan",D2,Hutan rawa,F
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,F
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,T
"Saprists/Hemists (60/40),sedan",D2,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan penanaman tanaman industri,T
"Saprists/Hemists (60/40),sedan",D2,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D2,Lahan penanaman tanaman industri,T
"Saprists/Hemists (60/40),sedan",D2,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Saprists/Hemists (60/40),sedan",D2,Hutan rawa,F
"Hemists/Saprists (60/40),dalam",D1,Kebun karet,T
"Saprists/Hemists (60/40),sedan",D2,Hutan rawa,F
"Hemists/min (90/10),sangat dalam",D4,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Saprists/Hemists (60/40),sedan",D2,Hutan rawa,F
"Hemists/min (90/10),sangat dalam",D4,Kelapa sawit pada bekas hutan rawa < 5 th,T
"Saprists/Hemists (60/40),sedan",D2,Hutan rawa,F
"Hemists/min (90/10),sangat dalam",D4,Kelapa sawit pada bekas hutan rawa < 5 th,T
"Saprists/Hemists (60/40),sedan",D2,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Saprists/Hemists (60/40),sedan",D2,Hutan rawa,F
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Saprists/Hemists (60/40),sedan",D2,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Saprists/Hemists (60/40),sedan",D2,Hutan rawa,F
"Hemists/min (70/30),sedang",D1,"Sawah intensif (padi - palawija/bera),jeruk",T
"Saprists/Hemists (60/40),sedan",D2,Hutan rawa,F
"Hemists/min (70/30),sedang",D1,"Sawah intensif (padi - palawija/bera),jeruk",T
