type,depth,landuse,class
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Hemists/Saprists (60/40),sedang",D2,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D2,Sawah dan kelapa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D3,Kelapa sawit pada bekas hutan rawa > 5 th,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D3,Kelapa sawit pada bekas hutan rawa > 5 th,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Belukar rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Kelapa sawit pada bekas hutan rawa < 5 th,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Belukar rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Belukar rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Belukar rawa,F
"Saprists/Hemists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Belukar rawa,F
"Saprists/Hemists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Saprists/Hemists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Saprists/Hemists (60/40),sangat dalam",D4,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D2,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Kelapa sawit pada bekas hutan rawa < 5 th,F
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sangat dalam",D3,Kelapa sawit pada bekas hutan rawa < 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sangat dalam",D4,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D2,Belukar rawa,T
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Saprists/Hemists (60/40),sangat dalam",D2,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sangat dalam",D2,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Belukar rawa,F
"Saprists/Hemists (60/40),sangat dalam",D2,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sangat dalam",D2,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sedang",D2,Belukar rawa,F
"Saprists/Hemists (60/40),sangat dalam",D2,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sangat dalam",D2,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sangat dalam",D2,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sangat dalam",D2,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sangat dalam",D2,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sangat dalam",D2,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Saprists/Hemists (60/40),sangat dalam",D2,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Saprists/Hemists (60/40),sangat dalam",D2,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sangat dalam",D2,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sangat dalam",D2,Kelapa pada bekas hutan rawa > 5 th,T
"Saprists/Hemists (60/40),sangat dalam",D2,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sangat dalam",D2,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Belukar rawa,F
"Hemists/Saprists (60/40),dalam",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Kelapa sawit pada bekas hutan rawa < 5 th,F
"Saprists/Hemists (60/40),sangat dalam",D3,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Saprists/Hemists (60/40),sangat dalam",D3,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Saprists/Hemists (60/40),sangat dalam",D3,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Belukar rawa,F
"Saprists/Hemists (60/40),sangat dalam",D3,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sangat dalam",D3,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sangat dalam",D3,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sangat dalam",D4,Hutan rawa,T
"Saprists/Hemists (60/40),sangat dalam",D4,Hutan rawa,T
"Saprists/Hemists (60/40),sangat dalam",D3,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sangat dalam",D3,Kelapa pada bekas hutan rawa > 5 th,T
"Saprists/Hemists (60/40),sangat dalam",D3,Kelapa pada bekas hutan rawa > 5 th,T
"Saprists/Hemists (60/40),sangat dalam",D3,Kelapa pada bekas hutan rawa > 5 th,T
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sedang",D1,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Belukar rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Hemists/Saprists (60/40),sedang",D2,Kelapa sawit pada bekas hutan rawa < 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Hemists/Saprists (60/40),sedang",D2,Kelapa sawit pada bekas hutan rawa < 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Hemists/Saprists (60/40),sangat dalam",D3,Kelapa sawit pada bekas hutan rawa  > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Hemists/min (30/70),dangkal",D0,Kelapa sawit pada bekas hutan rawa  > 5 th,T
"Saprists/min (90/10),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sedang",D1,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Belukar rawa,F
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Belukar rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Belukar rawa,F
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sedang",D1,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D1,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/min (50/50),sedang",D2,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D3,Kelapa sawit pada bekas hutan rawa < 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D3,Lahan penanaman tanaman industri,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Hemists/Saprists (60/40),sedang",D2,Lahan penanaman tanaman industri,T
"Hemists/Saprists (60/40),dalam",D1,Kebun karet,T
"Hemists/Saprists (60/40),sangat dalam",D4,Belukar rawa,F
"Hemists/Saprists (60/40),dalam",D1,Kebun karet,T
"Hemists/Saprists (60/40),sangat dalam",D4,Belukar rawa,F
"Saprists/min (90/10),sedang",D1,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),dalam",D2,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),dalam",D2,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Hemists/Saprists (60/40),dalam",D2,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Hemists/Saprists (60/40),dalam",D2,Kelapa sawit pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/min (90/10),sedang",D2,Lahan hutan konsesi penebangan,T
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Hemists/Saprists (60/40),dalam",D3,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Belukar rawa,F
"Saprists/Hemists (60/40),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Saprists/Hemists (60/40),sedang",D2,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/min (30/70),dangkal",D1,Belukar rawa,T
"Hemists/min (30/70),dangkal",D1,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Hemists/min (30/70),dangkal",D1,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/min (30/70),dangkal",D1,Hutan rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D2,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D2,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,T
"Hemists/Saprists (60/40),sedang",D2,Kelapa pada bekas hutan rawa > 5 th,T
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan hutan konsesi penebangan,F
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Belukar rawa,F
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,T
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,F
